Team;Total DVOA Rank;Total DVOA;Prev. Year Rank;W-L;Weighted DVOA Rank;Weighted DVOA;Offense DVOA Rank;Offense DVOA;Defense DVOA Rank;Defense DVOA;Special Teams DVOA Rank;Special Teams DVOA;Estimated Wins Rank;Estimated Wins;Unadj. Total VOA Rank;Unadj. Total VOA;Schedule Rank;Schedule;Pythagorean Wins Rank;Pythagorean Wins;Variance Rank;Variance
TEN;18;-0,062;17;9-7;19;-0,094;18;-0,021;23;0,057;13;0,016;17;7,5;16;-0,045;29;-0,046;16;7,4;23;0,167
WAS;16;-0,026;9;7-9;20;-0,098;20;-0,038;12;-0,035;22;-0,024;19;6,9;18;-0,087;3;0,05;17;6,8;24;0,175
ARI;32;-0,384;19;3-13;32;-0,415;32;-0,418;12;-0,024;11;0,01;32;2,7;32;-0,398;5;0,028;32;2,8;16;0,143
ATL;17;-0,022;14;7-9;17;0,016;9;0,089;30;0,125;10;0,014;18;7,7;16;0,011;22;-0,02;17;7,8;4;0,09
BAL;6;0,158;7;10-6;8;0,177;13;0,012;4;-0,117;6;0,03;5;10,8;9;0,132;10;0,01;5;10,8;17;0,152
BUF;28;-0,186;22;6-10;23;-0,088;31;-0,275;2;-0,14;32;-0,051;24;6,4;29;-0,219;9;0,011;30;5;32;0,253
CAR;14;0,003;9;7-9;21;-0,031;11;0,06;23;0,055;18;-0,002;17;7,7;14;0,045;14;0,001;16;7,8;25;0,198
CHI;5;0,191;25;12-4;6;0,201;20;-0,031;1;-0,254;26;-0,032;6;10,6;4;0,228;31;-0,059;1;11,6;11;0,12
CIN;24;-0,108;24;6-10;27;-0,196;21;-0,037;28;0,097;7;0,026;22;7,1;25;-0,148;2;0,055;24;5,9;21;0,175
CLE;19;-0,033;32;7-8-1;12;0,076;17;-0,007;13;-0,016;30;-0,042;20;7,5;18;-0,02;3;0,045;20;7,1;13;0,128
DAL;18;-0,023;11;10-6;18;0,001;24;-0,063;9;-0,06;23;-0,021;21;7,3;15;0,024;21;-0,02;14;8,4;8;0,105
DEN;13;0,055;29;6-10;14;0,057;15;0,008;6;-0,089;31;-0,042;13;8,6;12;0,072;6;0,025;18;7,4;26;0,202
DET;23;-0,105;12;6-10;19;-0,002;22;-0,052;21;0,044;20;-0,009;23;6,6;23;-0,101;19;-0,014;21;7;31;0,245
GB;20;-0,044;17;6-9-1;22;-0,084;7;0,112;29;0,116;29;-0,041;14;7,8;21;-0,068;28;-0,034;19;7,4;29;0,221
HOU;11;0,104;26;11-5;10;0,112;19;-0,028;5;-0,097;5;0,035;9;9,5;7;0,153;30;-0,042;8;10,3;1;0,064
IND;8;0,124;30;10-6;3;0,223;10;0,079;11;-0,035;12;0,009;7;10;6;0,185;32;-0,067;9;10,3;18;0,153
JAX;22;-0,085;8;5-11;25;-0,142;30;-0,217;7;-0,088;4;0,044;25;6;22;-0,099;11;0,009;26;5,7;6;0,101
KC;1;0,332;10;12-4;1;0,294;1;0,354;27;0,077;2;0,056;1;13;1;0,318;15;-0,003;4;11;9;0,108
LAC;4;0,221;13;12-4;4;0,214;3;0,208;10;-0,041;25;-0,028;4;10,9;5;0,223;17;-0,007;7;10,6;3;0,076
LAR;3;0,239;3;13-3;5;0,208;2;0,25;16;0,01;17;-0,002;2;12,5;2;0,287;24;-0,021;3;11,2;2;0,071
MIA;27;-0,177;28;7-9;31;-0,296;26;-0,095;26;0,071;21;-0,011;29;5;28;-0,209;29;-0,035;29;5,1;30;0,229
MIN;10;0,105;2;8-7-1;9;0,154;18;-0,012;3;-0,126;19;-0,009;10;9,2;11;0,076;26;-0,024;12;8,5;5;0,092
NE;7;0,135;6;11-5;7;0,186;5;0,147;19;0,014;16;0,001;8;9,9;8;0,144;27;-0,024;6;10,8;20;0,159
NO;2;0,252;1;13-3;2;0,285;4;0,161;8;-0,073;9;0,017;3;11,7;3;0,268;16;-0,006;2;11,5;10;0,119
NYG;16;-0,012;31;5-11;13;0,059;14;0,011;25;0,068;3;0,045;16;7,8;19;-0,021;23;-0,02;22;6,9;19;0,156
NYJ;26;-0,17;27;4-12;26;-0,19;29;-0,202;22;0,049;1;0,081;27;5,6;27;-0,196;18;-0,013;28;5,3;27;0,219
OAK;31;-0,234;20;4-12;28;-0,208;25;-0,077;31;0,142;22;-0,016;31;4,3;31;-0,302;1;0,062;31;3,7;28;0,22
PHI;15;-0,01;5;9-7;16;0,027;16;-0,004;15;0,009;15;0,002;15;7,8;17;-0,017;12;0,003;13;8,5;14;0,143
PIT;9;0,113;4;9-6-1;11;0,108;6;0,143;14;-0,005;27;-0,035;11;9,2;13;0,061;4;0,034;11;9,7;15;0,143
SEA;12;0,059;15;10-6;15;0,048;8;0,091;17;0,01;24;-0,022;12;8,7;10;0,098;20;-0,015;10;10,1;7;0,102
SF;30;-0,22;21;4-12;29;-0,217;27;-0,158;24;0,065;14;0,003;30;4,7;30;-0,241;8;0,012;27;5,6;22;0,178
TB;25;-0,144;23;5-11;24;-0,124;12;0,059;32;0,162;28;-0,041;28;5,4;26;-0,178;7;0,02;23;6,4;12;0,127
TEN;21;-0,06;18;9-7;20;-0,017;23;-0,056;18;0,013;13;0,008;19;7,5;20;-0,042;13;0,001;15;8,2;24;0,193
WAS;29;-0,201;16;7-9;30;-0,285;28;-0,198;20;0,028;8;0,025;26;5,8;24;-0,147;25;-0,022;25;5,7;23;0,18
ARI;17;-0,031;32;5-10-1;16;0,03;13;0,032;20;0,04;26;-0,024;17;7,3;22;-0,081;3;0,043;23;6;21;0,164
ATL;15;-0,019;17;7-9;15;0,043;15;0,023;17;0,014;28;-0,029;13;7,9;18;-0,063;5;0,038;19;7,5;15;0,136
BAL;1;0,412;6;14-2;1;0,482;1;0,282;5;-0,115;9;0,015;2;12,9;1;0,438;24;-0,025;1;13,4;20;0,162
BUF;13;0,016;28;10-6;10;0,074;21;-0,071;7;-0,099;21;-0,012;15;7,6;12;0,057;31;-0,049;10;9,8;11;0,113
CAR;29;-0,265;14;5-11;32;-0,405;27;-0,144;26;0,08;31;-0,041;30;4;30;-0,298;4;0,042;29;4,9;30;0,211
CHI;18;-0,031;5;8-8;17;-0,028;25;-0,099;10;-0,058;13;0,009;16;7,6;21;-0,075;6;0,032;20;7,4;2;0,071
CIN;31;-0,276;24;2-14;28;-0,209;29;-0,166;30;0,156;1;0,046;29;4;31;-0,317;8;0,023;30;4,3;18;0,14
CLE;24;-0,106;19;6-10;24;-0,139;20;-0,048;24;0,066;15;0,008;26;6,1;26;-0,159;9;0,02;22;6,4;27;0,194
DAL;6;0,199;18;8-8;8;0,142;2;0,245;16;0,007;30;-0,039;6;11,4;6;0,245;27;-0,033;5;10,9;10;0,11
DEN;23;-0,104;13;7-9;22;-0,085;26;-0,113;13;-0,028;24;-0,019;23;6,4;20;-0,072;15;0,001;21;6,9;16;0,137
DET;21;-0,081;23;3-12-1;25;-0,152;18;-0,03;23;0,065;10;0,014;22;6,6;23;-0,1;10;0,012;24;5,9;1;0,067
GB;9;0,077;20;13-3;13;0,054;8;0,066;15;-0,009;18;0,001;9;9,9;9;0,071;17;-0,004;9;9,8;22;0,183
HOU;16;-0,022;11;10-6;19;-0,068;17;0,006;22;0,056;5;0,029;14;7,7;16;-0,021;7;0,024;15;7,8;19;0,15
IND;20;-0,06;8;7-9;20;-0,074;19;-0,034;19;0,03;16;0,004;20;7,2;15;-0,021;30;-0,044;17;7,7;12;0,117
JAX;28;-0,194;22;6-10;31;-0,296;24;-0,099;29;0,123;6;0,027;24;6,4;27;-0,174;25;-0,027;26;5,3;31;0,226
KC;4;0,301;1;12-4;3;0,317;3;0,235;14;-0,026;2;0,041;5;12;4;0,274;16;0,001;4;11,6;7;0,088
LAC;22;-0,089;4;5-11;21;-0,075;12;0,035;25;0,072;32;-0,051;27;5,5;19;-0,069;23;-0,023;16;7,8;13;0,12
LAR;12;0,053;3;9-7;14;0,047;16;0,006;9;-0,061;23;-0,015;11;9,1;14;0,014;1;0,06;12;8,8;29;0,209
MIA;32;-0,388;27;5-11;29;-0,268;28;-0,145;32;0,23;22;-0,013;32;3;32;-0,385;18;-0,006;32;3,6;23;0,184
MIN;7;0,179;10;10-6;6;0,181;10;0,048;4;-0,123;14;0,008;8;10,7;7;0,22;21;-0,012;7;10,8;3;0,074
NE;3;0,307;7;12-4;5;0,195;11;0,043;1;-0,252;11;0,012;3;12,3;3;0,343;32;-0,066;2;13,1;14;0,134
NO;2;0,327;2;13-3;2;0,422;4;0,22;8;-0,071;3;0,036;1;13,3;2;0,361;19;-0,01;6;10,9;5;0,085
NYG;27;-0,186;16;4-12;27;-0,167;22;-0,074;28;0,115;17;0,003;31;3,8;28;-0,191;20;-0,01;27;5,3;4;0,077
NYJ;26;-0,177;26;7-9;23;-0,105;32;-0,254;11;-0,042;4;0,034;25;6,2;25;-0,137;29;-0,043;25;5,6;32;0,267
OAK;25;-0,127;31;7-9;26;-0,166;9;0,054;31;0,158;25;-0,023;19;7,2;24;-0,116;22;-0,018;28;5,2;28;0,194
PHI;11;0,055;15;9-7;11;0,06;14;0,024;12;-0,031;19;0;12;9;10;0,069;26;-0,032;11;8,8;26;0,193
PIT;19;-0,058;9;8-8;18;-0,06;31;-0,251;3;-0,178;8;0,015;18;7,3;17;-0,056;12;0,007;18;7,6;9;0,102
SEA;8;0,127;12;11-5;9;0,101;5;0,177;21;0,041;20;-0,009;7;10,7;11;0,061;2;0,055;14;8,2;6;0,086
SF;5;0,29;30;13-3;4;0,255;7;0,077;2;-0,203;12;0,01;4;12,1;5;0,269;11;0,008;3;12;17;0,138
TB;14;0,003;25;7-9;12;0,056;23;-0,074;6;-0,105;27;-0,028;21;6,9;13;0,031;14;0,004;13;8,2;8;0,095
TEN;10;0,076;21;9-7;7;0,176;6;0,13;18;0,019;29;-0,035;10;9,1;8;0,142;28;-0,038;8;9,9;25;0,191
WAS;30;-0,269;29;3-13;30;-0,272;30;-0,207;27;0,089;7;0,027;28;4,4;29;-0,254;13;0,004;31;3,7;24;0,19
ARI;13;0,036;17;8-8;16;0,012;19;-0,024;10;-0,066;19;-0,006;14;8;13;0,063;17;0,002;13;9,1;18;0,127
ATL;17;-0,036;15;4-12;17;0,002;21;-0,031;14;-0,001;20;-0,007;21;6,7;19;-0,068;1;0,066;18;7,5;7;0,075
BAL;7;0,185;1;11-5;7;0,157;11;0,043;9;-0,069;2;0,074;10;9,5;6;0,229;29;-0,053;1;12;19;0,129
BUF;4;0,238;13;13-3;1;0,345;5;0,156;12;-0,022;4;0,059;2;12,1;4;0,246;22;-0,016;5;10,9;21;0,14
CAR;21;-0,067;29;5-11;21;-0,1;17;-0,002;24;0,073;16;0,008;24;6,4;24;-0,097;2;0,065;23;6,6;4;0,067
CHI;15;-0,006;18;8-8;15;0,017;25;-0,106;8;-0,075;8;0,026;15;7,9;17;-0,024;9;0,025;15;8,1;1;0,04
CIN;30;-0,247;31;4-11-1;30;-0,237;29;-0,182;27;0,091;9;0,026;30;4,4;30;-0,27;20;-0,013;28;5,1;10;0,1
CLE;18;-0,057;24;11-5;18;-0,008;9;0,054;25;0,074;27;-0,037;16;7,7;15;0,014;30;-0,053;16;7,7;31;0,191
DAL;23;-0,111;6;6-10;22;-0,109;24;-0,085;23;0,06;7;0,033;23;6,5;25;-0,126;24;-0,019;24;6,2;27;0,177
DEN;29;-0,219;23;5-11;28;-0,205;30;-0,2;13;-0,002;24;-0,021;26;5,5;29;-0,239;5;0,039;29;4,9;20;0,135
DET;27;-0,157;21;5-11;29;-0,21;16;0;32;0,177;11;0,019;25;6,2;28;-0,218;4;0,043;30;4,8;24;0,154
GB;3;0,258;9;13-3;4;0,314;1;0,291;17;0,005;25;-0,027;6;11,4;3;0,281;23;-0,018;4;11,2;22;0,143
HOU;24;-0,126;16;4-12;25;-0,157;13;0,027;30;0,143;21;-0,01;27;5,2;23;-0,097;18;-0,001;25;6,1;3;0,067
IND;10;0,142;20;11-5;9;0,135;12;0,027;7;-0,095;10;0,02;8;10;7;0,203;32;-0,066;8;10,2;5;0,068
JAX;31;-0,28;28;1-15;32;-0,327;27;-0,126;31;0,152;18;-0,001;31;4,1;31;-0,285;16;0,004;31;3,7;25;0,171
KC;6;0,196;4;14-2;6;0,195;2;0,239;22;0,049;17;0,005;3;11,9;8;0,194;25;-0,022;7;10,7;2;0,061
LAC;26;-0,147;22;7-9;27;-0,174;15;0,015;20;0,044;32;-0,118;28;5,1;22;-0,096;21;-0,015;22;6,9;16;0,113
LAR;9;0,154;12;10-6;8;0,141;10;0,044;4;-0,17;30;-0,06;9;9,9;10;0,135;10;0,021;9;10,2;14;0,112
LV;19;-0,062;25;8-8;20;-0,1;14;0,018;28;0,096;13;0,015;20;6,9;21;-0,092;13;0,012;20;7;11;0,104
MIA;12;0,046;32;10-6;14;0,036;18;-0,021;11;-0,033;6;0,033;13;8,2;12;0,089;27;-0,037;11;9,8;23;0,152
MIN;20;-0,064;7;7-9;24;-0,13;8;0,063;18;0,034;31;-0,094;19;7,1;20;-0,08;6;0,037;21;7;9;0,085
NE;22;-0,071;3;7-9;19;-0,077;23;-0,073;26;0,079;1;0,081;18;7,3;18;-0,052;12;0,014;19;7,2;29;0,185
NO;1;0,333;2;12-4;2;0,344;7;0,107;2;-0,19;5;0,036;4;11,8;1;0,327;15;0,006;2;11,4;30;0,189
NYG;25;-0,138;27;6-10;23;-0,118;26;-0,118;19;0,037;12;0,017;22;6,5;27;-0,175;14;0,01;27;5,7;13;0,111
NYJ;32;-0,305;26;2-14;31;-0,3;31;-0,205;21;0,047;29;-0,053;32;3,3;32;-0,381;8;0,026;32;2,8;26;0,171
PHI;28;-0,188;11;4-11-1;26;-0,165;28;-0,169;15;0,002;22;-0,016;29;4,9;26;-0,172;7;0,034;26;5,8;8;0,078
PIT;8;0,168;19;12-4;10;0,134;22;-0,047;1;-0,202;14;0,013;7;10,1;5;0,242;31;-0,057;6;10,7;15;0,113
SEA;5;0,201;8;12-4;5;0,22;6;0,137;16;0,004;3;0,068;5;11,4;9;0,189;19;-0,01;10;10,1;6;0,069
SF;11;0,054;5;6-10;11;0,043;20;-0,025;6;-0,099;23;-0,021;11;8,6;16;-0,002;3;0,051;17;7,6;28;0,183
TB;2;0,315;14;11-5;3;0,336;3;0,198;5;-0,146;26;-0,029;1;12,8;2;0,324;11;0,017;3;11,2;32;0,214
TEN;14;0,025;10;11-5;12;0,042;4;0,184;29;0,115;28;-0,044;12;8,4;11;0,091;26;-0,027;12;9,2;17;0,125
WAS;16;-0,023;30;7-9;13;0,036;32;-0,218;3;-0,183;15;0,011;17;7,6;14;0,016;28;-0,038;14;8,2;12;0,107
ARI;10;0,11;13;11-6;16;0,009;15;0,032;6;-0,082;20;-0,004;10;9,8;7;0,151;3;0,027;8;10,6;16;0,136
ATL;30;-0,294;17;7-10;27;-0,195;28;-0,171;30;0,113;22;-0,01;28;4,7;30;-0,294;20;-0,003;28;4,7;21;0,144
BAL;19;-0,027;7;8-9;24;-0,11;17;0,017;28;0,093;1;0,05;21;7,3;19;-0,012;18;0,003;19;8,4;7;0,104
BUF;2;0,276;4;11-6;3;0,261;10;0,097;1;-0,18;19;-0,001;6;11;1;0,342;32;-0,05;1;13,3;32;0,309
CAR;27;-0,242;21;5-12;31;-0,353;31;-0,228;15;-0,002;24;-0,016;32;4,2;27;-0,245;14;0,007;26;5,7;31;0,264
CHI;24;-0,106;15;6-11;22;-0,066;26;-0,136;13;-0,009;7;0,021;26;5;23;-0,118;9;0,014;25;5,8;18;0,14
CIN;17;-0,001;30;10-7;14;0,018;18;0,013;19;0,03;8;0,016;18;8,4;17;0,031;30;-0,029;9;10,6;17;0,137
CLE;13;0,048;18;8-9;17;0,002;14;0,042;11;-0,025;25;-0,019;12;9,6;16;0,039;24;-0,012;20;7,9;24;0,157
DAL;1;0,309;23;12-5;1;0,346;6;0,136;2;-0,152;6;0,021;3;13,3;2;0,34;26;-0,022;3;12,5;13;0,131
DEN;18;-0,014;29;7-10;15;0,017;12;0,055;20;0,03;30;-0,039;20;7,8;18;0,028;29;-0,028;16;8,9;15;0,136
DET;29;-0,272;27;3-13-1;29;-0,276;29;-0,177;29;0,108;10;0,013;29;4,7;29;-0,282;5;0,021;27;4,9;12;0,13
GB;8;0,118;3;13-4;8;0,153;2;0,202;22;0,036;32;-0,049;7;10,8;8;0,14;19;-0,001;10;10,5;22;0,151
HOU;28;-0,243;24;4-13;28;-0,212;30;-0,22;23;0,036;9;0,013;30;4,4;28;-0,256;7;0,016;30;4;26;0,16
IND;11;0,098;10;9-8;10;0,13;13;0,044;8;-0,049;14;0,004;9;9,8;10;0,122;22;-0,006;7;10,7;25;0,158
JAX;32;-0,31;31;3-14;30;-0,308;27;-0,151;31;0,117;31;-0,042;27;4,7;32;-0,335;10;0,012;32;3,3;29;0,194
KC;7;0,173;6;12-5;6;0,241;3;0,181;24;0,045;3;0,037;5;11,4;9;0,136;6;0,016;5;11,4;20;0,143
LAC;12;0,087;26;9-8;11;0,109;4;0,16;26;0,048;28;-0,024;15;9,1;12;0,072;15;0,006;17;8,9;10;0,121
LAR;5;0,216;9;12-5;7;0,211;8;0,106;5;-0,085;4;0,025;1;13,4;5;0,193;16;0,005;6;10,7;5;0,074
LV;21;-0,05;19;10-7;20;-0,023;19;-0,034;17;0,006;21;-0,009;17;8,4;20;-0,03;8;0,014;23;6,8;11;0,125
MIA;25;-0,109;12;9-8;21;-0,056;24;-0,108;10;-0,029;29;-0,029;24;6,6;22;-0,092;27;-0,025;21;7,6;14;0,135
MIN;16;0,026;20;8-9;19;-0,002;16;0,026;16;0,004;13;0,004;16;8,7;14;0,057;11;0,011;18;8,5;1;0,046
NE;4;0,233;22;10-7;2;0,312;9;0,105;4;-0,128;18;0;8;10,1;4;0,241;25;-0,017;2;12,6;30;0,251
NO;14;0,047;1;9-8;18;-0,002;23;-0,106;3;-0,15;16;0,003;14;9,5;13;0,062;23;-0,009;14;9,4;28;0,193
NYG;31;-0,296;25;4-13;32;-0,394;32;-0,281;18;0,028;11;0,013;31;4,2;31;-0,314;2;0,028;29;4,1;23;0,152
NYJ;26;-0,186;32;4-13;25;-0,115;22;-0,083;32;0,144;2;0,041;25;5,7;26;-0,232;13;0,007;31;3,9;19;0,142
PHI;15;0,038;28;9-8;12;0,032;11;0,081;25;0,047;15;0,003;13;9,6;15;0,047;28;-0,027;13;10;8;0,106
PIT;23;-0,102;8;9-7-1;26;-0,125;25;-0,11;14;-0,006;17;0,002;22;7,1;25;-0,135;4;0,022;22;7;9;0,121
SEA;9;0,117;5;7-10;9;0,146;7;0,127;21;0,035;5;0,025;11;9,6;11;0,101;12;0,01;15;9,3;4;0,073
SF;6;0,199;11;10-7;5;0,252;5;0,149;7;-0,074;26;-0,024;4;11,9;6;0,184;21;-0,005;12;10,1;2;0,068
TB;3;0,276;2;13-4;4;0,259;1;0,267;9;-0,033;27;-0,024;2;13,3;3;0,317;31;-0,036;4;12,2;3;0,073
TEN;20;-0,03;14;12-5;13;0,023;20;-0,042;12;-0,023;23;-0,01;19;8;21;-0,04;17;0,004;11;10,3;27;0,187
WAS;22;-0,101;16;7-10;23;-0,092;21;-0,053;27;0,058;12;0,01;23;6,8;24;-0,13;1;0,035;24;5,9;6;0,102